fecha_mes,tpm_prom,tpm_cierre,ipc,imacec,tasa_desempleo,dolar_prom,dolar_cierre,libra_cobre_prom,libra_cobre_cierre
2000-01-01,5.023809523809524,5.25,2.83162041,49.971312156722,,520.447619047619,517.89,0.836419305089359,0.836419305089359
2000-02-01,5.25,5.25,3.327602582,47.757648961496,,512.8509523809523,503.98,0.816851129456591,0.816851129456591
2000-03-01,5.369565217391305,5.5,3.427273568,52.773356450772,,504.3804347826087,501.41,0.788982128277239,0.788982128277239
2000-04-01,5.5,5.5,3.530209537,51.37539699981,,508.0994736842105,515.61,0.761476004717409,0.761476004717409
2000-05-01,5.5,5.5,3.635752674,51.048322220629,,521.6631818181818,524.77,0.809951918715413,0.809951918715413
2000-06-01,5.5,5.5,3.728530806,48.533063718236,,529.7375,538.61,0.795237231243763,0.795237231243763
2000-07-01,5.5,5.5,3.804634862,48.351408583386,,542.745238095238,556.38,0.816184341830718,0.816184341830718
2000-08-01,5.434782608695652,5.0,3.86290442,49.336918128206,,550.9945454545455,562.44,0.841812573709516,0.841812573709516
2000-09-01,5.0,5.0,4.257691046,47.686866848186,,565.895,565.37,0.88923160664066,0.88923160664066
2000-10-01,5.0,5.0,4.521170392,51.639067160489,,567.8414285714285,571.94,0.861194774562279,0.861194774562279
2000-11-01,5.0,5.0,4.679190724,52.389410091593,,574.5971428571429,580.37,0.814256554477003,0.814256554477003
2000-12-01,5.0,5.0,4.519896079,54.814411917121,,574.6284210526316,572.68,0.839394901569446,0.839394901569446
2001-01-01,4.897727272727272,4.75,4.694050818,51.091949399933,,571.1163636363636,563.62,0.810804681121292,0.810804681121292
2001-02-01,4.675,4.5,3.791111476,49.367213736532,,563.129,567.21,0.800893586138075,0.800893586138075
2001-03-01,4.045454545454546,4.0,3.53276334,55.139305364006,,587.7859090909092,592.91,0.788700898122108,0.788700898122108
2001-04-01,3.8375,3.75,3.524654291,53.212774134741,,598.6279999999999,599.89,0.754858024131362,0.754858024131362
2001-05-01,3.75,3.75,3.74673506,52.832417888978,,604.4780952380953,610.53,0.763045450421845,0.763045450421845
2001-06-01,3.595238095238095,3.5,3.561291384,51.266221369556,,616.0725,626.65,0.729588133901842,0.729588133901842
2001-07-01,3.5,3.5,3.214876427,49.666345567046,,656.4557142857143,664.38,0.691826181620249,0.691826181620249
2001-08-01,5.681818181818182,6.5,3.773170434,50.702357383896,,673.7031818181817,660.57,0.664261090447247,0.664261090447247
2001-09-01,6.5,6.5,3.901812741,49.023918775831,,681.2417647058824,696.23,0.646979043817473,0.646979043817473
2001-10-01,6.5,6.5,3.408915201,53.099156731635,,708.0981818181818,716.62,0.62473010977048,0.62473010977048
2001-11-01,6.5,6.5,3.058944609,53.73944370959,,689.4014285714286,681.9,0.647614079651638,0.647614079651638
2001-12-01,6.5,6.5,2.633621883,55.639349064575,,669.1378947368421,656.2,0.667576884695636,0.667576884695636
2002-01-01,6.159090909090909,6.0,2.210210985,52.386842733463,,667.2818181818183,678.19,0.682187244851674,0.682187244851674
2002-02-01,5.825,5.5,2.529661223,49.572388645635,,678.8349999999999,675.3,0.708473192415858,0.708473192415858
2002-03-01,5.05,4.75,2.576823459,55.496862230513,,663.264,664.44,0.727968792524721,0.727968792524721
2002-04-01,4.75,4.75,2.483862309,54.831662879904,,650.8209523809523,649.09,0.72136895581965,0.72136895581965
