tipo_actor,actor,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
staff_tecnico,Pablo García Silva,465.0,25.0,11.0,429.0,0.053763440860215055,0.023655913978494623,0.9225806451612903,0.030107526881720432,0.3888888888888889,0.07741935483870968,0.0204219743790095
staff_tecnico,Luis Óscar Herrera Barriga,302.0,21.0,16.0,265.0,0.0695364238410596,0.052980132450331126,0.8774834437086093,0.016556291390728478,0.13513513513513514,0.12251655629139073,-0.003099880569991311
staff_tecnico,Miguel Fuentes Díaz,205.0,0.0,2.0,203.0,0.0,0.00975609756097561,0.9902439024390244,-0.00975609756097561,-1.0,0.00975609756097561,-0.031247532713524134
staff_tecnico,Rodrigo Valdés Pulido,200.0,28.0,3.0,169.0,0.14,0.015,0.845,0.125,0.8064516129032258,0.155,0.11889403479752352
staff_tecnico,Beltrán de Ramón Acevedo,183.0,14.0,26.0,143.0,0.07650273224043716,0.14207650273224043,0.7814207650273224,-0.06557377049180328,-0.3,0.2185792349726776,-0.10910575014026735
staff_tecnico,Igal Magendzo Weinberger,136.0,3.0,0.0,133.0,0.022058823529411766,0.0,0.9779411764705882,0.022058823529411766,1.0,0.022058823529411766,0.031741167883067856
staff_tecnico,Alberto Naudon Dell'Oro,116.0,6.0,8.0,102.0,0.05172413793103448,0.06896551724137931,0.8793103448275862,-0.017241379310344827,-0.14285714285714285,0.1206896551724138,-0.029338916943437945
staff_tecnico,Kevin Cowan Logan,116.0,2.0,6.0,108.0,0.017241379310344827,0.05172413793103448,0.9310344827586207,-0.034482758620689655,-0.5,0.06896551724137931,-0.0491019861841871
staff_tecnico,Esteban Jadresic Marinovic,87.0,11.0,4.0,72.0,0.12643678160919541,0.04597701149425287,0.8275862068965517,0.08045977011494253,0.4666666666666667,0.1724137931034483,0.048980029511100455
staff_tecnico,Diego Gianelli Gómez,62.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,,0.0,-0.016841977123537515
staff_tecnico,Matías Bernier Bórquez,45.0,0.0,3.0,42.0,0.0,0.06666666666666667,0.9333333333333333,-0.06666666666666667,-1.0,0.06666666666666667,-0.018500838239392543
staff_tecnico,Ricardo Vicuña Poblete,44.0,0.0,0.0,44.0,0.0,0.0,1.0,0.0,,0.0,-0.004204804810880973
staff_tecnico,Klaus Schmidt-Hebbel Dunker,40.0,16.0,0.0,24.0,0.4,0.0,0.6,0.4,1.0,0.4,0.3192964098254511
staff_tecnico,Luis Felipe Céspedes Cifuentes,22.0,5.0,5.0,12.0,0.22727272727272727,0.22727272727272727,0.5454545454545454,0.0,0.0,0.45454545454545453,0.04510702738053976
staff_tecnico,Miguel Ricaurte Bermúdez,21.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,,0.0,-0.011461879566496429
staff_tecnico,Claudio Raddatz Kiefer,20.0,0.0,5.0,15.0,0.0,0.25,0.75,-0.25,-1.0,0.25,-0.14884627629403285
staff_tecnico,Felipe Jaque,20.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,,0.0,0.0013785209591416427
staff_tecnico,Luis Opazo Roco,11.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,,0.0,-0.0049128377939661036
staff_tecnico,María Olivia Recart Herrera,10.0,0.0,1.0,9.0,0.0,0.1,0.9,-0.1,-1.0,0.1,-0.07069845634363185
staff_tecnico,Enrique Orellana Cifuentes,7.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,,0.0,-0.009515398657283942
staff_tecnico,Camilo Carrasco Alfonso,4.0,2.0,0.0,2.0,0.5,0.0,0.5,0.5,1.0,0.5,0.4341870503000688
staff_tecnico,Jorge Pérez Etchegaray,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0057962991300441165
staff_tecnico,Leonardo Hernández Tagle,3.0,2.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3343164521305613
staff_tecnico,Alfredo Pistelli,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,-0.015563230827632706
staff_tecnico,Elías Albagli Iruretagoyena,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0027445110288821266
staff_tecnico,Gloria Peña Tapia,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,-0.0018474893891528496
staff_tecnico,Luis Alberto Álvarez Vallejos,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.005538191999087085
staff_tecnico,Ari Aisen,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0003224493863385105
staff_tecnico,María Eugenia Wagner Brizzi,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7818076321060273
staff_tecnico,Pablo Pincheira Brown,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.019587202869322983
staff_tecnico,Rodrigo Alfaro,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,-0.008713876801257587
