ngram,n_palabras,ocurrencias,intervenciones,reuniones
siendo,1,1308,1024,132
de la inflacion,3,1307,863,131
medidas,1,1307,841,132
caso de,2,1306,827,131
financieras,1,1305,972,132
cuenta de,2,1304,926,128
perspectivas,1,1304,820,132
senor rodrigo vergara,3,1303,1067,72
claudio soto,2,1303,935,103
tendencia,1,1292,849,131
otra,1,1285,1029,132
mantener la,2,1273,803,122
materia de,2,1270,859,123
las condiciones,2,1266,809,132
china,1,1263,749,123
ajuste,1,1262,773,132
de la tasa,3,1262,750,130
la evolucion,2,1261,851,132
meta,1,1259,795,132
el gerente de division,4,1254,1020,132
actual,1,1254,903,132
externo,1,1249,919,132
en materia de,3,1248,844,123
interna,1,1247,873,131
marshall,1,1247,764,120
presentacion,1,1242,1058,123
plantea que,2,1241,1015,93
senor claudio,2,1240,868,82
de actividad,2,1237,865,131
reunion de,2,1231,912,132
sentido,1,1227,998,132
europa,1,1227,797,130
parece,1,1226,854,131
tasas de interes,3,1223,813,131
ipc,1,1216,678,132
estima que,2,1215,953,132
macroeconomico,1,1204,1008,130
otros,1,1204,979,132
de gregorio,2,1204,947,83
gregorio,1,1204,947,83
senor claudio soto,3,1202,834,79
de manera,2,1200,903,132
ultima,1,1200,874,132
mayores,1,1200,859,132
el caso de,3,1199,755,128
sergio,1,1194,808,111
sergio lehmann,2,1194,808,111
relacion,1,1192,960,131
aumento de,2,1188,831,132
tiempo,1,1187,904,131
manuel,1,1185,986,106
salarios,1,1185,749,130
observa,1,1183,878,130
siguen,1,1180,783,132
manuel marfan,2,1179,984,106
hacienda,1,1179,892,132
pasado,1,1177,885,131
de hacienda,2,1176,890,132
proximos,1,1172,825,132
que la inflacion,3,1166,854,132
pib,1,1164,728,131
en el ultimo,3,1156,856,132
lado,1,1155,736,131
los proximos,2,1145,814,132
el consejo,2,1142,674,132
cambios,1,1137,819,132
seria,1,1136,927,132
gerente de division estudios,4,1135,956,130
un aumento,2,1134,781,132
enrique,1,1132,764,128
linea,1,1129,763,132
recuperacion,1,1127,741,120
muestran,1,1114,814,132
presidente senor rodrigo,3,1110,932,49
presidente senor rodrigo vergara,4,1110,932,49
decision,1,1109,653,128
el mes de,3,1109,575,115
sebastian,1,1106,884,98
sebastian claro,2,1104,882,97
25 puntos,2,1099,644,117
se observa,2,1097,800,129
inflacionarias,1,1089,746,132
senor manuel,2,1088,894,105
senor manuel marfan,3,1087,893,105
la proyeccion,2,1085,749,131
25 puntos base,3,1083,636,116
garcia,1,1081,741,90
ministro de,2,1080,798,132
esperado,1,1077,742,132
algo mas,2,1076,801,131
el presidente senor rodrigo,4,1075,911,49
jose,1,1069,877,83
mantiene,1,1069,751,131
en particular,2,1068,808,132
juicio,1,1067,818,128
jose de,2,1064,876,83
jose de gregorio,3,1064,876,83
anade,1,1064,849,95
interno,1,1056,829,132
destaca que,2,1055,829,109
los datos,2,1054,802,127
general,1,1051,757,132
largo,1,1050,775,130
senor sergio,2,1050,677,104
senor sergio lehmann,3,1050,677,104
continuacion,1,1041,967,130
proximo,1,1038,763,132
la ultima,2,1036,755,132
en linea,2,1033,695,131
50,1,1033,602,128
acuerdo,1,1032,806,132
dia,1,1031,868,132
las cifras,2,1028,771,130
margen,1,1028,742,129
solo,1,1026,853,132
informa,1,1021,817,130
economias emergentes,2,1020,653,128
del cobre,2,1016,723,132
variacion,1,1015,615,128
enrique marshall,2,1013,743,120
tener,1,1012,828,132
debe,1,1009,747,130
linea con,2,1008,685,131
de tasas,2,1006,700,132
mantienen,1,1005,718,131
en linea con,3,1005,684,131
en estados unidos de,4,1005,586,105
opciones,1,1003,795,132
produccion,1,1002,547,128
analisis macroeconomico,2,1001,860,129
da,1,999,861,126
en el mes,3,996,530,117
forma,1,994,773,132
vez,1,993,813,132
anade que,2,993,790,89
lo anterior,2,993,788,127
euro,1,993,513,125
bancos,1,992,643,123
bajo,1,990,828,132
de analisis macroeconomico,3,989,850,129
del mes de,3,987,618,124
senor sebastian,2,986,764,98
senor sebastian claro,3,985,763,97
de la tasa de,4,984,574,121
que ello,2,983,842,126
el margen,2,983,711,127
laboral,1,980,725,132
presiones,1,979,654,131
ha sido,2,978,754,131
esta reunion,2,977,695,132
no obstante,2,974,787,130
obstante,1,974,787,130
senor jose,2,974,787,80
medida,1,974,782,132
senor jose de,3,973,786,80
senor jose de gregorio,4,973,786,80
debajo,1,973,681,130
alimentos,1,972,609,105
expectativas de inflacion,3,971,681,131
gerente de analisis macroeconomico,4,968,831,129
el ipom,2,966,667,127
la inversion,2,966,664,128
el precio del,3,964,637,129
precio de,2,964,635,129
en el margen,3,963,696,126
cuando,1,962,789,129
muestra,1,962,697,131
en los ultimos,3,957,745,132
pero que,2,953,760,126
por debajo,2,953,668,130
palabra,1,948,944,132
el gerente de analisis,4,948,763,123
los salarios,2,948,639,128
de la actividad,3,947,715,132
de la demanda,3,947,701,130
noticias,1,947,649,131
zona,1,946,482,123
la palabra,2,945,941,132
reunion de politica,3,945,739,132
especialmente,1,945,718,132
reunion de politica monetaria,4,944,739,132
dolar,1,943,635,132
de la economia,3,942,700,131
dicho,1,936,772,128
consejero senor sebastian,3,936,736,95
consejero senor sebastian claro,4,936,736,95
las perspectivas,2,936,644,131
ministro de hacienda,3,934,777,126
fiscal,1,934,673,132
del mercado,2,933,725,132
particularmente,1,933,646,129
en el caso de,4,933,587,125
punto,1,932,695,130
comunicado,1,928,706,132
lugar,1,927,626,131
del precio,2,926,636,129
informe,1,926,632,131
relevante,1,923,742,132
que si bien,3,923,739,123
real,1,920,666,130
lo tanto,2,918,751,131
por lo tanto,3,918,751,131
senor enrique,2,918,648,118
septiembre,1,916,539,119
de la politica,3,914,615,131
considera,1,913,736,130
demanda interna,2,913,664,130
ahora,1,912,730,130
incremento,1,908,545,128
monetario,1,907,645,127
informa que,2,906,735,130
contexto,1,905,664,131
otra parte,2,902,733,130
senor enrique marshall,3,902,633,116
normalizacion,1,902,526,111
continua,1,901,681,132
parte de,2,900,749,129
otras,1,897,760,132
gerencia,1,893,693,131
por otra,2,891,725,129
peso,1,888,628,132
menores,1,884,672,131
de precios,2,884,650,130
bienes,1,883,551,128
diciembre,1,882,536,122
la trayectoria,2,880,613,130
el senor claudio,3,880,580,70
mismo,1,879,759,131
horizonte,1,878,654,132
algunas,1,873,707,130
el senor claudio soto,4,873,574,68
mediano,1,872,626,132
importaciones,1,872,546,122
por otra parte,3,870,709,129
consecuencia,1,869,778,132
opcion,1,869,510,132
su juicio,2,863,674,128
mercado laboral,2,863,673,132
largo plazo,2,863,645,129
la situacion,2,862,657,125
se mantiene,2,860,646,129
la zona,2,857,444,123
notar,1,855,698,88
rango,1,853,611,127
en relacion,2,852,720,131
mantener la tasa,3,852,567,115
consulta,1,851,840,130
se mantienen,2,851,629,130
financiera,1,847,650,130
depreciacion,1,845,580,118
en el mes de,4,844,449,109
registro,1,843,600,121
alzas,1,840,595,126
la gerencia,2,838,650,130
sino,1,836,752,130
donde,1,835,641,128
presidente senor jose,3,833,679,48
presidente senor jose de,4,833,679,48
luego,1,833,656,130
volatilidad,1,832,613,127
espera,1,831,659,132
de expectativas,2,829,601,131
zona euro,2,829,422,123
de hecho,2,827,679,128
ultimo mes,2,827,589,127
algun,1,826,696,129
sea,1,826,653,132
mundial,1,826,605,126
alza de,2,826,604,123
el presidente senor jose,4,825,674,48
reciente,1,825,653,131
una caida,2,825,629,124
de la politica monetaria,4,820,564,131
apreciacion,1,819,577,124
previsto,1,818,571,131
agradece,1,817,814,131
hace notar,2,817,664,75
precio del petroleo,3,817,572,123
los riesgos,2,817,571,131
enero,1,814,444,102
inflacion de,2,811,580,128
proceso,1,810,557,123
interes de,2,810,537,132
promedio,1,808,572,129
mercados financieros,2,806,655,130
de interes de,3,806,534,132
el tipo,2,805,609,125
el tipo de,3,805,609,125
