anio,topico_humano,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
2005,actividad_interna,54.0,2.0,0.0,52.0,0.037037037037037035,0.0,0.9629629629629629,0.037037037037037035,1.0,0.037037037037037035,0.04214012030601292
2005,acuerdo_comunicado,103.0,33.0,0.0,70.0,0.32038834951456313,0.0,0.6796116504854369,0.32038834951456313,1.0,0.32038834951456313,0.2840414863826914
2005,apertura_cierre,39.0,1.0,0.0,38.0,0.02564102564102564,0.0,0.9743589743589743,0.02564102564102564,1.0,0.02564102564102564,0.040665183220731
2005,debate,15.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,,0.0,0.011019011263369401
2005,decision_tpm,50.0,39.0,0.0,11.0,0.78,0.0,0.22,0.78,1.0,0.78,0.6577172084214221
2005,escenario_internacional,75.0,3.0,0.0,72.0,0.04,0.0,0.96,0.04,1.0,0.04,0.033367306666147546
2005,inflacion,69.0,7.0,0.0,62.0,0.10144927536231885,0.0,0.8985507246376812,0.10144927536231885,1.0,0.10144927536231885,0.09661923863389389
2005,mercado_laboral,46.0,0.0,0.0,46.0,0.0,0.0,1.0,0.0,,0.0,0.009058016465156785
2005,mercados_financieros,88.0,5.0,0.0,83.0,0.056818181818181816,0.0,0.9431818181818182,0.056818181818181816,1.0,0.056818181818181816,0.04574090494726269
2005,opciones_tpm,34.0,8.0,0.0,26.0,0.23529411764705882,0.0,0.7647058823529411,0.23529411764705882,1.0,0.23529411764705882,0.24025915310997614
2005,otros,83.0,10.0,0.0,73.0,0.12048192771084337,0.0,0.8795180722891566,0.12048192771084337,1.0,0.12048192771084337,0.10393368186277839
2005,politica_fiscal,7.0,2.0,0.0,5.0,0.2857142857142857,0.0,0.7142857142857143,0.2857142857142857,1.0,0.2857142857142857,0.22531799041808226
2005,riesgos,12.0,3.0,0.0,9.0,0.25,0.0,0.75,0.25,1.0,0.25,0.17561679047569423
