k,topico_local,terminos_top5,terminos_top20,prevalencia
6,k6_tema_01,politica | monetaria | politica monetaria | tasa | tasa politica,politica | monetaria | politica monetaria | tasa | tasa politica | mantener | mantener tasa | tasa interes | anual | interes | interes politica | comunicado | acordo | mensual politica | monetaria 25 | monetaria acordo | mensual | nivel | estrategia | acordo mantener,0.11098043029536578
10,k10_tema_10,precio | economias | petroleo | precios | cobre,precio | economias | petroleo | precios | cobre | emergentes | precio petroleo | economias emergentes | mercados | precio cobre | caida | financieros | internacional | commodities | riesgo | aumento | mercados financieros | mayor | desarrolladas | ultimo,0.19681983754826535
12,k12_tema_01,politica | monetaria | politica monetaria | tasa | tasa politica,politica | monetaria | politica monetaria | tasa | tasa politica | mantener | mantener tasa | tasa interes | anual | interes politica | comunicado | acordo | interes | mensual politica | monetaria 25 | monetaria acordo | nivel | mensual | estrategia | acordo mantener,0.09023319557974938
12,k12_tema_02,inflacion | expectativas | meses | expectativas inflacion | meta,inflacion | expectativas | meses | expectativas inflacion | meta | ipc | subyacente | rango | mes | medidas | torno | anual | inflacion subyacente | horizonte | mercado | proximos | precios | inflacion anual | encuesta | rango meta,0.14198096902054622
12,k12_tema_03,estados | unidos | estados unidos | america | unidos america,estados | unidos | estados unidos | america | unidos america | euro | zona | zona euro | europa | japon | indicadores | china | america latina | latina | economia | recuperacion | monetaria estados | crecimiento estados | cifras | destaca,0.047122021048502334
12,k12_tema_04,division | estudios | division estudios | gerencia | gerencia division,division | estudios | division estudios | gerencia | gerencia division | opciones | opciones politica | estudios opciones | operaciones | operaciones financieras | division operaciones | minuta | financieras | division politica | politica financiera | financiera | opcion | solicita division | politica | solicita,0.04117147703773228
12,k12_tema_05,puntos | base | puntos base | 25 | 25 puntos,puntos | base | puntos base | 25 | 25 puntos | 50 | 50 puntos | tasa | tpm | monetaria 25 | alza | subir | tpm 25 | aumento | 75 | tasa politica | alza 25 | aumentar | mercado | opcion,0.05296847987556686
12,k12_tema_06,crecimiento | trimestre | demanda | actividad | consumo,crecimiento | trimestre | demanda | actividad | consumo | interna | segundo | primer | mes | demanda interna | desaceleracion | dinamismo | menor | ipom | ultimo | inversion | mayor | algo | pib | primer trimestre,0.23768335038226868
12,k12_tema_07,presentacion | macroeconomico | internacional | consultas | presentacion internacional,presentacion | macroeconomico | internacional | consultas | presentacion internacional | presentacion macroeconomico | presentacion refiriendose | refiriendose | internacional consultas | retoma presentacion | retoma | presentacion division | lamina | interno | presentacion externo | destacados | macroeconomico consultas | hechos destacados | presentacion senalando | presentacion mencionando,0.02487568099731935
12,k12_tema_08,cambio | tipo | tipo cambio | real | cambio real,cambio | tipo | tipo cambio | real | cambio real | apreciacion | depreciacion | dolar | nominal | peso | cambio nominal | apreciado | depreciacion tipo | nivel | apreciacion tipo | efectos | depreciado | proyeccion | mayor | podria,0.0586429853606589
12,k12_tema_09,ministro | hacienda | ministro hacienda | exposicion | da,ministro | hacienda | ministro hacienda | exposicion | da | votacion | subrogante | hacienda subrogante | asesor | reanuda politica | reanuda | 16 | incorporandose | da paso | paso | habiendo | 16 00 | 00 | informa ministro | asistira,0.029671854007850516
12,k12_tema_10,precio | petroleo | cobre | precio petroleo | precios,precio | petroleo | cobre | precio petroleo | precios | precio cobre | caida | mes | aumento | commodities | gasolina | alza | ultimo | alimentos | us | combustibles | caida precio | internacional | ultimo mes | importante,0.10156669963254183
12,k12_tema_11,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas | mercados | financieros | mercados financieros | paises | riesgo | condiciones | europa | financieras | monedas | internacional | externo | latina | america latina | china | economia,0.10289716715979945
12,k12_tema_12,plazo | tasas | corto | interes | tasas interes,plazo | tasas | corto | interes | tasas interes | corto plazo | largo | largo plazo | mediano | mediano plazo | interes largo | mediano largo | mercado | bajas | inflacion corto | anos | largas | tasa interes | niveles | tasas largas,0.07029842234124324
14,k14_tema_01,politica | monetaria | politica monetaria | tasa | tasa politica,politica | monetaria | politica monetaria | tasa | tasa politica | mantener | mantener tasa | tasa interes | anual | interes politica | comunicado | interes | acordo | mensual politica | monetaria 25 | monetaria acordo | mensual | nivel | estrategia | acordo mantener,0.07966928284677127
14,k14_tema_02,inflacion | expectativas | expectativas inflacion | meta | meses,inflacion | expectativas | expectativas inflacion | meta | meses | subyacente | rango | medidas | torno | horizonte | ipc | inflacion subyacente | anual | precios | inflacion anual | rango meta | inflacionarias | horizonte politica | proyecciones | baja,0.10720627860193524
14,k14_tema_03,estados | unidos | estados unidos | america | unidos america,estados | unidos | estados unidos | america | unidos america | euro | zona | zona euro | europa | japon | indicadores | china | latina | america latina | economia | recuperacion | monetaria estados | crecimiento estados | america zona | economia estados,0.042722853863632775
14,k14_tema_04,division | estudios | division estudios | gerencia | gerencia division,division | estudios | division estudios | gerencia | gerencia division | opciones | opciones politica | estudios opciones | operaciones | operaciones financieras | division operaciones | minuta | financieras | division politica | politica financiera | financiera | opcion | solicita division | solicita | politica,0.03780193353903136
14,k14_tema_05,puntos | base | puntos base | 25 | 25 puntos,puntos | base | puntos base | 25 | 25 puntos | 50 | 50 puntos | tasa | tpm | monetaria 25 | alza | tpm 25 | subir | 75 | aumento | tasa politica | alza 25 | aumentar | aumento 25 | vota,0.04487804129857521
14,k14_tema_06,trimestre | crecimiento | demanda | actividad | interna,trimestre | crecimiento | demanda | actividad | interna | segundo | primer | demanda interna | consumo | primer trimestre | inversion | desaceleracion | pib | segundo trimestre | menor | tercer | mayor | tercer trimestre | dinamismo | algo,0.1479456412908961
14,k14_tema_07,presentacion | macroeconomico | internacional | consultas | presentacion internacional,presentacion | macroeconomico | internacional | consultas | presentacion internacional | presentacion macroeconomico | presentacion refiriendose | refiriendose | internacional consultas | retoma presentacion | retoma | interno | presentacion division | lamina | presentacion externo | destacados | macroeconomico consultas | hechos destacados | presentacion senalando | macroeconomico presentacion,0.02255856848118088
14,k14_tema_08,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas | mercados | financieros | mercados financieros | paises | riesgo | condiciones | europa | financieras | monedas | externo | internacional | america latina | latina | china | economia,0.09177117600631128
14,k14_tema_09,ministro | hacienda | ministro hacienda | exposicion | da,ministro | hacienda | ministro hacienda | exposicion | da | votacion | subrogante | hacienda subrogante | asesor | reanuda politica | reanuda | 16 | incorporandose | da paso | paso | habiendo | 16 00 | 00 | informa ministro | asistira,0.026888785493413975
14,k14_tema_10,precio | petroleo | cobre | precio petroleo | precios,precio | petroleo | cobre | precio petroleo | precios | precio cobre | caida | commodities | aumento | gasolina | alza | alimentos | us | combustibles | caida precio | internacional | mayor | importante | primas | materias,0.08403420401470652
14,k14_tema_11,cambio | tipo | tipo cambio | real | cambio real,cambio | tipo | tipo cambio | real | cambio real | apreciacion | depreciacion | dolar | nominal | peso | cambio nominal | apreciado | depreciacion tipo | nivel | apreciacion tipo | efectos | depreciado | proyeccion | mayor | podria,0.05131038032529127
14,k14_tema_12,plazo | tasas | corto | interes | corto plazo,plazo | tasas | corto | interes | corto plazo | tasas interes | largo | largo plazo | mediano | mediano plazo | interes largo | mediano largo | bajas | inflacion corto | tasa interes | largas | anos | tasas largas | niveles | tasas crecimiento,0.05781027268700713
14,k14_tema_13,mercado | laboral | mercado laboral | meses | empleo,mercado | laboral | mercado laboral | meses | empleo | tasa | desempleo | ultimos | cuenta | salarios | ultimos meses | tasa desempleo | dinamismo | creacion | proximos | tasas | asalariado | trabajo | sin | proximos meses,0.12042169867581552
14,k14_tema_14,mes | ultimo | ultimo mes | ipom | registro,mes | ultimo | ultimo mes | ipom | registro | ultimo ipom | diciembre | septiembre | anterior | variacion | enero | pasado | mes anterior | marzo | mayo | noticias | mes septiembre | mes enero | junio | octubre,0.08409318531921182
16,k16_tema_01,politica | monetaria | politica monetaria | tasa politica | tasa,politica | monetaria | politica monetaria | tasa politica | tasa | estrategia | informe politica | informe | normalizacion | comunicacion | ultima politica | comunicacion politica | estrategia comunicacion | opciones politica | opciones | ultima | normalizacion politica | horizonte | decision | horizonte politica,0.06528352209274754
16,k16_tema_02,inflacion | expectativas | expectativas inflacion | meta | subyacente,inflacion | expectativas | expectativas inflacion | meta | subyacente | medidas | rango | horizonte | torno | inflacion subyacente | ipc | anual | precios | rango meta | inflacionarias | inflacion anual | horizonte politica | encuesta | ancladas | mantienen,0.0937157544624519
16,k16_tema_03,estados | unidos | estados unidos | america | unidos america,estados | unidos | estados unidos | america | unidos america | euro | zona | zona euro | europa | japon | indicadores | china | america latina | latina | economia | recuperacion | monetaria estados | crecimiento estados | america zona | destaca,0.04133659393261945
16,k16_tema_04,division | estudios | division estudios | gerencia | gerencia division,division | estudios | division estudios | gerencia | gerencia division | opciones | opciones politica | estudios opciones | operaciones | operaciones financieras | division operaciones | minuta | financieras | division politica | politica financiera | financiera | opcion | solicita division | solicita | exposicion division,0.03522080316397355
16,k16_tema_05,puntos | base | puntos base | 25 | 25 puntos,puntos | base | puntos base | 25 | 25 puntos | 50 | 50 puntos | tasa | tpm | alza | monetaria 25 | subir | tpm 25 | tasa politica | aumento | 75 | alza 25 | aumento 25 | aumentar | base tasa,0.038878751620392914
16,k16_tema_06,trimestre | crecimiento | demanda | actividad | interna,trimestre | crecimiento | demanda | actividad | interna | segundo | primer | consumo | demanda interna | desaceleracion | inversion | primer trimestre | menor | pib | segundo trimestre | mayor | tercer | dinamismo | tercer trimestre | economia,0.14474095252166252
16,k16_tema_07,presentacion | macroeconomico | internacional | consultas | presentacion internacional,presentacion | macroeconomico | internacional | consultas | presentacion internacional | presentacion macroeconomico | presentacion refiriendose | refiriendose | internacional consultas | retoma presentacion | retoma | interno | presentacion division | lamina | presentacion externo | destacados | macroeconomico consultas | hechos destacados | presentacion senalando | presentacion mencionando,0.021741012320018037
16,k16_tema_08,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas | mercados | financieros | mercados financieros | paises | riesgo | condiciones | europa | financieras | monedas | externo | internacional | america latina | latina | china | economia,0.0875528004601963
