ngram,conteo_hawkish,conteo_dovish,log_odds,z_score,distintivo_de
consejero senor pablo garcia,10,29,-1.4036109881884062,-3.831660437544127,dovish
de confianza,11,30,-1.342335420304499,-3.8122126012702613,dovish
que las perspectivas de,18,38,-1.0867450013416367,-3.8013353476092013,dovish
de manera que,28,49,-0.8994627665146382,-3.7997030925839246,dovish
comunicado que es,6,24,-1.724370201060113,-3.783343356467326,dovish
conforme la,6,24,-1.724370201060113,-3.783343356467326,dovish
manifiesta su,6,24,-1.724370201060113,-3.783343356467326,dovish
tpm que,6,24,-1.724370201060113,-3.783343356467326,dovish
mediano plazo se,5,23,-1.863697367445031,-3.783160630918746,dovish
un impulso monetario,5,23,-1.863697367445031,-3.783160630918746,dovish
sebastian,84,104,-0.5539459403876883,-3.778658272132473,dovish
sebastian claro,84,104,-0.5539459403876883,-3.778658272132473,dovish
marshall senala que,13,32,-1.2400285385644008,-3.773890583783634,dovish
al concluir la,4,22,-2.0417458218548727,-3.7635272509644415,dovish
al concluir la reunion,4,22,-2.0417458218548727,-3.7635272509644415,dovish
concluir la reunion se,4,22,-2.0417458218548727,-3.7635272509644415,dovish
conforme la votacion,4,22,-2.0417458218548727,-3.7635272509644415,dovish
consejeros el consejo,4,22,-2.0417458218548727,-3.7635272509644415,dovish
consejeros el consejo adopto,4,22,-2.0417458218548727,-3.7635272509644415,dovish
efectuada por los senores,4,22,-2.0417458218548727,-3.7635272509644415,dovish
la reunion se procede,4,22,-2.0417458218548727,-3.7635272509644415,dovish
por los motivos,4,22,-2.0417458218548727,-3.7635272509644415,dovish
reunion se procede,4,22,-2.0417458218548727,-3.7635272509644415,dovish
reunion se procede dar,4,22,-2.0417458218548727,-3.7635272509644415,dovish
senores consejeros el consejo,4,22,-2.0417458218548727,-3.7635272509644415,dovish
sesgo la baja en,4,22,-2.0417458218548727,-3.7635272509644415,dovish
staff por el apoyo,4,22,-2.0417458218548727,-3.7635272509644415,dovish
por parte de,14,33,-1.1967758392908845,-3.755685012162774,dovish
constituye,47,68,-0.7094993476802269,-3.7429456270741834,dovish
cuarto,46,67,-0.716180426146531,-3.7428926752880796,dovish
staff por,23,43,-0.9654431874855653,-3.7402477958134472,dovish
la tpm en esta,9,27,-1.4374317457271406,-3.738751389701165,dovish
tpm en esta,9,27,-1.4374317457271406,-3.738751389701165,dovish
una desaceleracion de,9,27,-1.4374317457271406,-3.738751389701165,dovish
esta reunion de,15,34,-1.1577092995847806,-3.7383490569050206,dovish
una rebaja de,1,31,-3.7538941318442376,-3.7333412833159274,dovish
condiciones de,24,44,-0.9459050872793888,-3.730514093775705,dovish
que su,178,187,-0.389943433635608,-3.7262492065191295,dovish
2012,10,28,-1.3685922760775462,-3.7189675303162915,dovish
anual al concluir,2,22,-2.7310865159361217,-3.711890905728504,dovish
anual al concluir la,2,22,-2.7310865159361217,-3.711890905728504,dovish
la opcion de,136,150,-0.4385222644491833,-3.7060465285143924,dovish
acuerdo la,3,21,-2.2818494285850566,-3.7060280867438657,dovish
de acuerdo la,3,21,-2.2818494285850566,-3.7060280867438657,dovish
la ultima encuesta de,3,21,-2.2818494285850566,-3.7060280867438657,dovish
mes de junio,3,21,-2.2818494285850566,-3.7060280867438657,dovish
ultima encuesta de,3,21,-2.2818494285850566,-3.7060280867438657,dovish
alberto,11,29,-1.3085006947782283,-3.698956235889131,dovish
debilidad de la,11,29,-1.3085006947782283,-3.698956235889131,dovish
senor alberto,11,29,-1.3085006947782283,-3.698956235889131,dovish
su juicio la,11,29,-1.3085006947782283,-3.698956235889131,dovish
flexibilidad,29,49,-0.8644239321374183,-3.6923723733576623,dovish
esta reunion de politica,12,30,-1.2554984000361102,-3.679300999434882,dovish
juicio la,12,30,-1.2554984000361102,-3.679300999434882,dovish
concluir la reunion,5,22,-1.819382403931865,-3.6780773361998262,dovish
efectuada por los,5,22,-1.819382403931865,-3.6780773361998262,dovish
los motivos,5,22,-1.819382403931865,-3.6780773361998262,dovish
el consumo,59,79,-0.6321625149734658,-3.6764434372441794,dovish
expresando,6,23,-1.6819261783674353,-3.674091039725816,dovish
futuros en la,6,23,-1.6819261783674353,-3.674091039725816,dovish
periodo prolongado,6,23,-1.6819261783674353,-3.674091039725816,dovish
un sesgo la,6,23,-1.6819261783674353,-3.674091039725816,dovish
en un nivel,20,39,-1.0074935996956071,-3.666233489849224,dovish
la debilidad,20,39,-1.0074935996956071,-3.666233489849224,dovish
condiciones en,4,21,-1.9953945144344338,-3.6643991658313797,dovish
de las implicancias de,4,21,-1.9953945144344338,-3.6643991658313797,dovish
la baja que,4,21,-1.9953945144344338,-3.6643991658313797,dovish
las perspectivas de,121,136,-0.4573754142280837,-3.662319580281964,dovish
colocacion,7,24,-1.5706349507210344,-3.660963301669403,dovish
la cuenta,7,24,-1.5706349507210344,-3.660963301669403,dovish
los spreads,7,24,-1.5706349507210344,-3.660963301669403,dovish
motivo,7,24,-1.5706349507210344,-3.660963301669403,dovish
senor pablo,40,60,-0.7455470843814158,-3.65504110451095,dovish
senor pablo garcia,40,60,-0.7455470843814158,-3.65504110451095,dovish
vision,44,64,-0.7148216539273236,-3.652665934026608,dovish
las tasas,295,284,-0.3027557938465497,-3.6442557066585644,dovish
al concluir,8,25,-1.4781538370778922,-3.64319714279022,dovish
la debilidad de,8,25,-1.4781538370778922,-3.64319714279022,dovish
por lo que,98,115,-0.5004102990919836,-3.642404565943631,dovish
marshall senala,14,32,-1.1660585367343366,-3.6423063293776705,dovish
su compromiso de conducir,14,32,-1.1660585367343366,-3.6423063293776705,dovish
cuenta de,86,104,-0.5304446458575445,-3.641838035702461,dovish
futuros en la tpm,2,21,-2.684894507956866,-3.641302134993954,dovish
el mercado,435,398,-0.251954699405049,-3.6347318830586217,dovish
senor sebastian,83,101,-0.5366710452563073,-3.6248567214904575,dovish
senor sebastian claro,83,101,-0.5366710452563073,-3.6248567214904575,dovish
2013,1,28,-3.654039466336668,-3.6244684711928237,dovish
la opcion de bajar,1,28,-3.654039466336668,-3.6244684711928237,dovish
opcion de bajar,1,28,-3.654039466336668,-3.6244684711928237,dovish
exposicion,9,26,-1.3997717501940645,-3.6233026548737173,dovish
una reduccion de la,9,26,-1.3997717501940645,-3.6233026548737173,dovish
desaceleracion de la economia,3,20,-2.2332813466947297,-3.615478746234101,dovish
el plano local,3,20,-2.2332813466947297,-3.615478746234101,dovish
en el plano local,3,20,-2.2332813466947297,-3.615478746234101,dovish
para esta reunion de,3,20,-2.2332813466947297,-3.615478746234101,dovish
proporcionado,3,20,-2.2332813466947297,-3.615478746234101,dovish
dando,26,45,-0.8884246405118486,-3.6092555738633094,dovish
chileno,10,27,-1.3322979016566485,-3.6027249295509995,dovish
mes de diciembre,10,27,-1.3322979016566485,-3.6027249295509995,dovish
en en el,28,47,-0.857849921061133,-3.596141188966718,dovish
baja en el,17,35,-1.0617028412023046,-3.59442112793484,dovish
