tipo_actor,actor,anio,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
hacienda_gobierno,Igal Magendzo Weinberger,2009,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,0.0,-0.0030982889148477967
hacienda_gobierno,Juan Pablo Araya Marco,2015,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.007628994507747393
hacienda_gobierno,Julio Dittborn Cordua,2011,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,-0.029975279520793513
hacienda_gobierno,Julio Dittborn Cordua,2012,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,-0.09124342828862493
hacienda_gobierno,Luis Felipe Céspedes Cifuentes,2008,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.012842689314466471
hacienda_gobierno,Luis Felipe Céspedes Cifuentes,2009,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.09934394580587956
hacienda_gobierno,Mario Marcel Cullell,2005,5.0,1.0,0.0,4.0,0.2,0.0,0.8,0.2,1.0,0.2,0.18688059674376012
hacienda_gobierno,María Olivia Recart Herrera,2007,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.013329263220673404
hacienda_gobierno,María Olivia Recart Herrera,2008,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.011434183927466974
hacienda_gobierno,Miguel Ángel Nacrur Gazali,2012,6.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,,0.0,-0.025659987886415384
hacienda_gobierno,Miguel Ángel Nacrur Gazali,2014,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,-0.0007053367306651687
hacienda_gobierno,Nicolás Eyzaguirre Guzmán,2005,66.0,0.0,0.0,66.0,0.0,0.0,1.0,0.0,,0.0,0.011465993069636658
hacienda_gobierno,Nicolás Eyzaguirre Guzmán,2006,12.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,,0.0,0.018257715111454176
hacienda_gobierno,Pablo Mattar Oyarzún,2014,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,-0.01269112692478889
hacienda_gobierno,Rodrigo Cerda Norambuena,2010,5.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,,0.0,-0.0014990268358038594
hacienda_gobierno,Rodrigo Cerda Norambuena,2011,7.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,,0.0,-0.005204537671733124
hacienda_gobierno,Rodrigo Cerda Norambuena,2012,6.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,,0.0,-5.718720220495062e-05
hacienda_gobierno,Rodrigo Cerda Norambuena,2013,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,-0.007800053498821393
hacienda_gobierno,Rodrigo Valdés Pulido,2015,15.0,0.0,1.0,14.0,0.0,0.06666666666666667,0.9333333333333333,-0.06666666666666667,-1.0,0.06666666666666667,-0.058100291703234025
hacienda_gobierno,Rodrigo Álvarez Zenteno,2010,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7240176486851024
miembro_consejo,Enrique Marshall Rivera,2006,24.0,8.0,0.0,16.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.24819670418347087
miembro_consejo,Enrique Marshall Rivera,2007,38.0,6.0,1.0,31.0,0.15789473684210525,0.02631578947368421,0.8157894736842105,0.13157894736842105,0.7142857142857143,0.18421052631578946,0.0969192746510108
miembro_consejo,Enrique Marshall Rivera,2008,57.0,9.0,2.0,46.0,0.15789473684210525,0.03508771929824561,0.8070175438596491,0.12280701754385964,0.6363636363636364,0.19298245614035087,0.045569761195582204
miembro_consejo,Enrique Marshall Rivera,2009,63.0,0.0,11.0,52.0,0.0,0.1746031746031746,0.8253968253968254,-0.1746031746031746,-1.0,0.1746031746031746,-0.15212899487512674
miembro_consejo,Enrique Marshall Rivera,2010,81.0,9.0,3.0,69.0,0.1111111111111111,0.037037037037037035,0.8518518518518519,0.07407407407407407,0.5,0.14814814814814814,0.01647580295343267
miembro_consejo,Enrique Marshall Rivera,2011,53.0,7.0,2.0,44.0,0.1320754716981132,0.03773584905660377,0.8301886792452831,0.09433962264150944,0.5555555555555556,0.16981132075471697,0.054470194666240854
miembro_consejo,Enrique Marshall Rivera,2012,58.0,0.0,3.0,55.0,0.0,0.05172413793103448,0.9482758620689655,-0.05172413793103448,-1.0,0.05172413793103448,-0.07165022019399596
miembro_consejo,Enrique Marshall Rivera,2013,50.0,0.0,7.0,43.0,0.0,0.14,0.86,-0.14,-1.0,0.14,-0.16924987924714954
miembro_consejo,Enrique Marshall Rivera,2014,36.0,0.0,10.0,26.0,0.0,0.2777777777777778,0.7222222222222222,-0.2777777777777778,-1.0,0.2777777777777778,-0.24855792368087648
miembro_consejo,Enrique Marshall Rivera,2015,23.0,0.0,1.0,22.0,0.0,0.043478260869565216,0.9565217391304348,-0.043478260869565216,-1.0,0.043478260869565216,-0.11251344548807789
miembro_consejo,Joaquín Vial Ruiz-Tagle,2012,46.0,0.0,0.0,46.0,0.0,0.0,1.0,0.0,,0.0,-0.009613679746975188
miembro_consejo,Joaquín Vial Ruiz-Tagle,2013,61.0,0.0,1.0,60.0,0.0,0.01639344262295082,0.9836065573770492,-0.01639344262295082,-1.0,0.01639344262295082,-0.03509594296085581
miembro_consejo,Joaquín Vial Ruiz-Tagle,2014,58.0,0.0,6.0,52.0,0.0,0.10344827586206896,0.896551724137931,-0.10344827586206896,-1.0,0.10344827586206896,-0.09340499968258033
