intervencion_id,meeting_id,fecha,anio,actor,cargo,grupo_actor,topico,keywords,largo_palabras,flag_cotejo,detalle_cotejo,texto
RPM-2005-03-10:180:1,RPM-2005-03-10,2005-03-10,2005,Sergio Lehmann Beresi,Gerente de Análisis Internacional,staff_tecnico,riesgos,escenario_internacional,109,False,,"El Gerente de Análisis Financiero, señor Sergio Lehmann, estima que es importante también poner sobre el tapete de la discusión algo que se mencionó en la reunión de la mañana que se refiere al balance de riesgo, que, al menos, desde el punto de vista de la División Internacional, es más bien negativo, desde el punto de vista de la inflación externa que, al parecer, puede presentar algunas presiones en ese sentido, así como también en lo referente al precio del petróleo, y por lo tanto, desde el punto de vista de la estrategia táctica habría que tomar en consideración esos escenarios de manera de no aparecer también sobrerreaccionando."
RPM-2005-04-07:207:10,RPM-2005-04-07,2005-04-07,2005,Vittorio Corbo Lioi,Presidente del Banco Central,consejo_votante,mercado_laboral,mercado_laboral,11,False,,"El señor Presidente, consulta sobre comentarios respecto de actividad y empleo."
RPM-2005-05-12:240:1,RPM-2005-05-12,2005-05-12,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,ministro_hacienda,otros,otros,138,False,,"El señor Ministro de Hacienda, interviene para indicar que el punto que ha planteado es de validez transitoria. Agrega que si uno tiene un shock en la demanda de papeles, en la composición, ello podría producir que los precios relativos se desvíen por algún tiempo. Le parece que, evidentemente, si los agentes no están de acuerdo con que la presión inflacionaria coincide con sus expectativas, van a comprar BCP. El punto que plantea es que, probablemente, esto no es instantáneo. Si la brecha continuara, señala, entonces podríamos pensar que, a menos que se produjeran nuevos cambios en la estructura de la oferta y la demanda, todo lo demás constante, se podría pensar que, probablemente se ha producido algo más de cierre en las expectativas, pero de lo contrario, porque tampoco el análisis del arbitraje internacional debiera ser válido."
RPM-2005-08-11:316:1,RPM-2005-08-11,2005-08-11,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,ministro_hacienda,actividad_interna,actividad_interna,65,False,,"Con relación a la exposición del Gerente de Análisis Macroeconómico, sobre los desarrollos económicos recientes, el Ministro de Hacienda, señor Nicolás Eyzaguirre consulta sobre el rango previsto para el crecimiento del PIB durante el año 2005. Luego de un intercambio de opiniones sobre el particular entre los Consejeros y algunos participantes en la Sesión, se indica que dicha cifra preliminarmente estaría en torno a 6,2%."
RPM-2005-10-11:405:1,RPM-2005-10-11,2005-10-11,2005,Vittorio Corbo Lioi,Presidente del Banco Central,consejo_votante,apertura_cierre,apertura_cierre,7,False,,El Presidente ofrece la palabra para comentarios.
RPM-2005-10-11:436:1,RPM-2005-10-11,2005-10-11,2005,Vittorio Corbo Lioi,Presidente del Banco Central,consejo_votante,apertura_cierre,apertura_cierre,23,False,,"El Presidente, señor Vittorio Corbo, suspende la Sesión a las 13:45 horas e informa que la misma se reanudará a las 16:00 horas."
RPM-2005-11-10:479:1,RPM-2005-11-10,2005-11-10,2005,Manuel Marfán Lewis,Consejero,consejo_votante,otros,otros,107,False,,"El Consejero señor Marfán, estima que podría existir una interpretación alternativa o complementaria, en el sentido que la fuente de rentabilidad o de utilidades de los bancos se ha ido desplazando desde comisiones a utilidades en la captación de fondos. Agrega, que le parece curioso que a pesar del aumento en las tasas de interés de captación, los bancos están obteniendo, como ocurre en otros países del mundo, rentabilidad más bien por el lado de sus tasas de interés en la captación de fondos que por efectos de las comisiones. En su opinión, podría existir también un fenómeno de cambio estructural en el comportamiento de los bancos."
RPM-2005-11-10:500:1,RPM-2005-11-10,2005-11-10,2005,Jorge Desormeaux Jiménez,Consejero,consejo_votante,decision_tpm,decision_tpm,618,False,,"El Consejero señor Jorge Desormeaux agradece los antecedentes y el valioso análisis realizado por la Gerencia de División de Estudios. Señala que la principal pregunta que se debe contestar en el día de hoy es si existen o no antecedentes para alterar el curso de ajuste gradual, aunque sin pausas, de la tasa de política monetaria de los últimos meses, o éste debe ser modificado para asegurar la convergencia de la inflación al centro del rango meta en el mediano plazo. Para ello, se deben evaluar hasta qué punto los nuevos antecedentes modifican el diagnóstico esbozado en el último Informe de Política Monetaria. Los principales cambios observados en el plano internacional en los últimos meses, consisten, en primer lugar, en un importante ajuste al alza en las tasas de interés internacionales, a partir de niveles inusualmente bajos, y en segundo lugar, se aprecian mayores riesgos para la actividad y la inflación en los principales mercados a raíz del alza en el precio del petróleo y el agotamiento de brechas de capacidad en algunos mercados. En el plano interno, también se observa un importante ajuste en las tasas de interés, especialmente a plazos largos, acompañado de un empinamiento adicional de la estructura de tasas de corto plazo. Otro desarrollo de importancia en el plano interno, es la desaceleración que se observó en la actividad en el tercer trimestre. Al respecto, el Consejero señor Desormeaux señala que ésta parece tener carácter transitorio, mientras la demanda interna sigue mostrando un gran dinamismo, que supera incluso lo previsto en el IPoM de septiembre. Por último, la inflación ha resultado mayor que lo esperado, superando el 4% en octubre, y proyectándose cifras que bordean el 5% en marzo de 2006. Agrega que, si a esto se suma el hecho que los costos laborales unitarios han dejado de caer y comienzan a mostrar una aceleración en su crecimiento, se podría argumentar a favor de un cambio de régimen, con un ajuste superior a los 25 puntos base, que constituya un seguro en contra del riesgo de un eventual desanclaje de expectativas. Sin embargo, frente a esta realidad, hay otros factores que apoyan la mantención de la trayectoria de ajuste gradual que ha seguido el Banco Central de Chile en los últimos cinco meses. En primer lugar, el shock inflacionario reciente obedece esencialmente a factores de oferta, por lo que sus efectos de primera vuelta son transitorios. De hecho, la inflación subyacente, si bien muestra una tendencia creciente, aún se sitúa por debajo del 3% y es marginalmente inferior a la proyectada en el IPoM. Por otra parte, el alza de las tasas de mercado ha reducido el grado de expansividad de la política monetaria. Asimismo, las expectativas de inflación se han acercado al centro del rango meta, especialmente a plazos de más de un año. Esas expectativas centradas en torno a 3% son a su vez coherentes con una trayectoria de ajustes sucesivos de 25 puntos base. De este modo, si bien subsisten grados de incertidumbre mayores que en el pasado, en particular la posibilidad de un agotamiento más rápido de lo previsto de las brechas de capacidad en el plano interno, y un mayor riesgo inflacionario en el plano internacional, señala que la opción de aumentar en 25 puntos base la TPM en el día de hoy es la mejor alternativa disponible. En cambio, un alza de 50 puntos base podría dar cuenta de una emergencia en el plano inflacionario que no se desprende de los antecedentes disponibles, y que además el mercado no espera ni considera necesario. Por estas consideraciones, el señor Consejero señala que vota por aumentar la tasa de política monetaria en 25 puntos base en el día de hoy."
RPM-2005-11-10:503:2,RPM-2005-11-10,2005-11-10,2005,Consejo del Banco Central de Chile,Consejo,consejo_entidad,inflacion,otros,21,False,,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 85-01-051110-Tasa de Política Monetaria."
RPM-2005-12-13:516:7,RPM-2005-12-13,2005-12-13,2005,Luis Óscar Herrera Barriga,Gerente de División Política Financiera,staff_tecnico,acuerdo_comunicado,acuerdo_comunicado,93,False,,"El Gerente de División Política Financiera, don Luis Óscar Herrera, señala que los dos fenómenos están relacionados porque existe un aspecto de la ecuación que es el diferencial de tasas y cuan correlacionados estarían. Agrega el señor Herrera, que en esta oportunidad se tiene más evidencia, que en ocasiones anteriores, que la acción de los extranjeros ha sido importante por los números que tenemos en los forwards, que no se habían visto en esas magnitudes desde el extranjero, ya que habitualmente se producía el arbitraje por ingreso directo al país o por ADRs."
