variante,accuracy,macro_f1,f1_hawkish,f1_dovish,f1_neutral,recall_hawkish,recall_dovish,recall_neutral,precision_hawkish,precision_dovish,precision_neutral,n_hawkish,n_dovish,n_neutral,f1_hd,recall_hd_balanceado,acierto_sobre_hd,n_hd,errores,errores_hd,neutral_a_direccion,direccion_a_neutral,f1_hd_media,f1_hd_sd,macro_f1_media,macro_f1_sd,delta_hd,delta_macro,folds_mejora,corregidos,nuevos,exactitud_conductual,invariancia,cumple_para_confirmar
H0_historica,0.9218158890290038,0.7809943637904974,0.7397260273972602,0.6371681415929203,0.9660889223813113,0.782608695652174,0.7346938775510204,0.9496296296296296,0.7012987012987013,0.5625,0.9831288343558282,69,49,675,0.6884470844950903,0.7586512866015972,0.7627118644067796,118,62,17,34,11,0.6874605394605394,0.08925612011377425,0.7802822203547717,0.06400528591743637,-0.004016806722689092,-0.003218519130967845,0,0,2,0.35714285714285715,0.7,False
B0_limpia,0.9243379571248423,0.7851098582709076,0.7448275862068966,0.6428571428571429,0.9676448457486833,0.782608695652174,0.7346938775510204,0.9525925925925925,0.7105263157894737,0.5714285714285714,0.9831804281345565,69,49,675,0.6938423645320198,0.7586512866015972,0.7627118644067796,118,60,17,32,11,0.6914773461832285,0.08364747212121898,0.7835007394857395,0.05944079629747585,0.0,0.0,0,0,0,0.35714285714285715,0.7,False
B1_svm,0.9230769230769231,0.746295871370446,0.762589928057554,0.5121951219512195,0.9641025641025641,0.7681159420289855,0.42857142857142855,0.9748148148148148,0.7571428571428571,0.6363636363636364,0.9536231884057971,69,49,675,0.6373925250043868,0.598343685300207,0.6271186440677966,118,61,12,17,32,0.6284808377382678,0.08712357165467483,0.7403568362526075,0.059864722499575876,-0.06299650844496071,-0.04314390323313202,1,17,18,0.37142857142857144,0.75,False
B2_lr_mixta,0.9155107187894073,0.7558989839951803,0.7152317880794702,0.5871559633027523,0.9653092006033183,0.782608695652174,0.6530612244897959,0.9481481481481482,0.6585365853658537,0.5333333333333333,0.9831029185867896,69,49,675,0.6511938756911113,0.7178349600709849,0.7288135593220338,118,67,21,35,11,0.6496307186255363,0.09900209018049828,0.7548406749531689,0.06985073190331711,-0.041846627557692306,-0.02866006453257064,0,3,10,0.14285714285714285,0.95,False
B3_svm_mixta,0.9255989911727617,0.7545073170986666,0.7534246575342466,0.5432098765432098,0.9668874172185431,0.7971014492753623,0.4489795918367347,0.9733333333333334,0.7142857142857143,0.6875,0.9605263157894737,69,49,675,0.6483172670387283,0.6230405205560485,0.652542372881356,118,59,14,18,27,0.641184437404584,0.026494222304548835,0.7497073346977634,0.01846666905921165,-0.05029290877864456,-0.03379340478797606,2,18,17,0.2857142857142857,0.75,False
B4_jerarquica,0.9117276166456494,0.7557673849204867,0.7162162162162162,0.5882352941176471,0.9628506444275967,0.7681159420289855,0.7142857142857143,0.9407407407407408,0.6708860759493671,0.5,0.9860248447204969,69,49,675,0.6522257551669317,0.7412008281573499,0.7457627118644068,118,70,21,40,9,0.6470291571173925,0.08577599729654872,0.7522866661855315,0.06111019844530599,-0.0444481890658361,-0.03121407330020798,0,2,12,0.35714285714285715,0.9,False
